model,pretty_name,SingleOp,SingleQ,MultiArith,SVAMP,GSM8K,MMLU-Math,BBHDeduction,BBHCounting,BBHNavigate,HotpotQA,SQuAD,DROP,Winograd-WSC
Qwen3-32B,NVFP4-RTN-I,100.0,100.0,99.41176470588235,98.49056603773585,98.50746268656717,93.25842696629213,100.0,86.8421052631579,97.5,98.89502762430939,91.92546583850931,94.25837320574163,92.82051282051282
Qwen3-32B,MXFP4-RTN-I,100.0,100.0,99.41176470588235,97.35849056603773,98.88059701492537,91.01123595505618,99.5,84.73684210526315,94.5,96.13259668508287,92.54658385093167,91.86602870813397,89.74358974358975
Qwen3-32B,MXFP4-RTN-I,100.0,100.0,99.41176470588235,98.49056603773585,97.01492537313433,92.88389513108615,99.0,86.8421052631579,95.0,96.68508287292818,90.6832298136646,88.51674641148325,91.28205128205128
Qwen3-32B,NVFP4-RTN-H,100.0,100.0,99.41176470588235,99.62264150943396,98.50746268656717,95.13108614232209,99.5,91.05263157894737,98.5,97.79005524861878,94.40993788819875,95.21531100478468,92.3076923076923
Qwen3-32B,MXFP4-RTN-I,100.0,100.0,99.41176470588235,98.49056603773585,97.76119402985076,94.00749063670412,99.0,84.21052631578947,93.5,98.34254143646409,91.30434782608697,90.9090909090909,90.25641025641026
Qwen3-32B,NVFP4-RTN-I,100.0,100.0,99.41176470588235,98.11320754716981,99.25373134328358,95.13108614232209,99.5,86.8421052631579,97.5,98.89502762430939,93.16770186335404,92.34449760765551,92.3076923076923
Qwen3-32B,NVFP4-RTN-I,100.0,100.0,99.41176470588235,98.86792452830188,98.88059701492537,94.00749063670412,99.5,85.78947368421052,96.5,97.23756906077348,93.7888198757764,96.17224880382776,91.7948717948718
Qwen3-32B,MXFP4-RTN-H,99.33333333333333,100.0,97.6470588235294,96.98113207547169,98.13432835820896,94.00749063670412,99.5,81.57894736842105,97.0,98.89502762430939,93.7888198757764,91.86602870813397,90.25641025641026
Qwen3-32B,NVFP4-RTN-H,100.0,100.0,98.82352941176471,98.86792452830188,97.38805970149254,96.25468164794007,99.5,90.0,98.0,97.79005524861878,95.65217391304348,92.82296650717703,92.82051282051282
Qwen3-32B,MXFP4-RTN-H,100.0,100.0,98.23529411764706,96.98113207547169,98.13432835820896,94.00749063670412,98.5,83.68421052631578,96.0,97.79005524861878,93.7888198757764,92.82296650717703,92.3076923076923
Llama-3.2-3B-Instruct,NVFP4-RTN-I,96.0,99.0,95.29411764705881,89.43396226415095,78.73134328358209,58.052434456928836,59.5,61.05263157894737,65.99999999999999,81.21546961325967,71.42857142857143,55.02392344497608,52.3076923076923
Llama-3.2-3B-Instruct,MXFP4-RTN-H,95.33333333333334,97.0,92.3529411764706,82.64150943396227,72.76119402985076,44.9438202247191,58.00000000000001,60.0,65.0,70.1657458563536,63.975155279503106,47.84688995215311,57.94871794871794
Llama-3.2-3B-Instruct,Llama-3.2-3B-Instruct-BF16,98.66666666666667,98.0,99.41176470588235,91.32075471698113,84.70149253731343,62.546816479400746,73.5,78.94736842105263,63.5,81.21546961325967,79.5031055900621,53.588516746411486,63.589743589743584
Llama-3.2-3B-Instruct,MXFP4-RTN-H,94.0,96.0,92.94117647058823,82.26415094339623,72.38805970149254,43.44569288389513,61.0,60.0,65.0,70.1657458563536,63.975155279503106,47.84688995215311,57.94871794871794
Llama-3.2-3B-Instruct,MXFP4-RTN-H,96.66666666666667,98.0,94.11764705882352,83.39622641509435,72.76119402985076,44.9438202247191,63.5,62.63157894736842,64.0,67.95580110497237,65.21739130434783,48.803827751196174,53.333333333333336
Llama-3.2-3B-Instruct,NVFP4-RTN-I,96.66666666666667,98.0,96.47058823529412,89.43396226415095,79.8507462686567,59.176029962546814,65.5,62.10526315789473,63.0,81.76795580110497,68.32298136645963,58.37320574162679,56.92307692307692
Llama-3.2-3B-Instruct,MXFP4-RTN-H,94.66666666666667,96.0,93.52941176470588,82.26415094339623,75.0,48.68913857677902,55.49999999999999,59.47368421052632,67.0,69.06077348066299,68.944099378882,53.110047846889955,58.46153846153845
Llama-3.2-3B-Instruct,NVFP4-RTN-I,96.66666666666667,99.0,96.47058823529412,86.41509433962264,80.22388059701493,59.176029962546814,60.0,64.21052631578948,70.0,82.32044198895028,67.70186335403727,52.15311004784689,57.43589743589743
Llama-3.2-3B-Instruct,NVFP4-RTN-I,96.66666666666667,98.0,94.70588235294117,88.67924528301887,79.47761194029852,58.42696629213483,60.0,56.84210526315789,64.0,79.55801104972376,66.45962732919256,53.588516746411486,52.820512820512825
